scenario,config_id,occupied_count,loads,occupied_loads,policy,run_cpus,n_run_cpus,repeat,status,tok_s,avg_decode_ms,decode_ms,elapsed_s,output_tail
4occ_config2,2,4,"20,20,20,20,0,0,0,0",20/20/20/20,No-Offloading 空闲核,"64,65,66,67",4,0,ok,30.1772,33.1376,1060.4,2.124582529067993,"llama_context: graph nodes  = 1042\nllama_context: graph splits = 1\nattach_threadpool: call\nset_n_threads: n_threads = 4, n_threads_batch = 4\n[tail-local-bench] attached ggml threadpool threads=4 cpu_mask=0x0 strict=0 poll=50 prio=0\n[tail-local-bench] mode=full_token tokens=32 threads=4 prefill_ms=46.4702 decode_ms=1060.4 avg_decode_ms=33.1376 throughput=30.1772 tok/s\nllama_perf_context_print:        load time =     883.12 ms\nllama_perf_context_print: prompt eval time =      46.47 ms /     4 tokens (   11.62 ms per token,    86.07 tokens per second)\nllama_perf_context_print:        eval time =    1060.42 ms /    32 runs   (   33.14 ms per token,    30.18 tokens per second)\nllama_perf_context_print:       total time =    1954.05 ms /    36 tokens"
6occ_config2,2,6,"20,20,20,20,20,20,0,0",20/20/20/20/20/20,基线,"60,61,62,63,64,65,66,67",8,0,ok,22.7797,43.8988,1404.76,2.7129111289978027,"llama_context: graph nodes  = 1042\nllama_context: graph splits = 1\nattach_threadpool: call\nset_n_threads: n_threads = 8, n_threads_batch = 8\n[tail-local-bench] attached ggml threadpool threads=8 cpu_mask=0x0 strict=0 poll=50 prio=0\n[tail-local-bench] mode=full_token tokens=32 threads=8 prefill_ms=41.3626 decode_ms=1404.76 avg_decode_ms=43.8988 throughput=22.7797 tok/s\nllama_perf_context_print:        load time =    1090.12 ms\nllama_perf_context_print: prompt eval time =      41.37 ms /     4 tokens (   10.34 ms per token,    96.70 tokens per second)\nllama_perf_context_print:        eval time =    1404.79 ms /    32 runs   (   43.90 ms per token,    22.78 tokens per second)\nllama_perf_context_print:       total time =    2505.64 ms /    36 tokens"
6occ_config2,2,6,"20,20,20,20,20,20,0,0",20/20/20/20/20/20,No-Offloading 空闲核,"66,67",2,0,ok,15.9962,62.515,2000.48,3.149685859680176,"llama_context: graph nodes  = 1042\nllama_context: graph splits = 1\nattach_threadpool: call\nset_n_threads: n_threads = 2, n_threads_batch = 2\n[tail-local-bench] attached ggml threadpool threads=2 cpu_mask=0x0 strict=0 poll=50 prio=0\n[tail-local-bench] mode=full_token tokens=32 threads=2 prefill_ms=85.3624 decode_ms=2000.48 avg_decode_ms=62.515 throughput=15.9962 tok/s\nllama_perf_context_print:        load time =     965.33 ms\nllama_perf_context_print: prompt eval time =      85.37 ms /     4 tokens (   21.34 ms per token,    46.86 tokens per second)\nllama_perf_context_print:        eval time =    2000.50 ms /    32 runs   (   62.52 ms per token,    16.00 tokens per second)\nllama_perf_context_print:       total time =    2975.95 ms /    36 tokens"
8occ_config2,2,8,"20,20,20,20,20,20,20,20",20/20/20/20/20/20/20/20,基线,"60,61,62,63,64,65,66,67",8,0,ok,16.0579,62.2747,1992.79,3.423114538192749,"llama_context: graph nodes  = 1042\nllama_context: graph splits = 1\nattach_threadpool: call\nset_n_threads: n_threads = 8, n_threads_batch = 8\n[tail-local-bench] attached ggml threadpool threads=8 cpu_mask=0x0 strict=0 poll=50 prio=0\n[tail-local-bench] mode=full_token tokens=32 threads=8 prefill_ms=36.3237 decode_ms=1992.79 avg_decode_ms=62.2747 throughput=16.0579 tok/s\nllama_perf_context_print:        load time =    1194.86 ms\nllama_perf_context_print: prompt eval time =      36.33 ms /     4 tokens (    9.08 ms per token,   110.11 tokens per second)\nllama_perf_context_print:        eval time =    1992.82 ms /    32 runs   (   62.28 ms per token,    16.06 tokens per second)\nllama_perf_context_print:       total time =    3198.57 ms /    36 tokens"
2occ_config3,3,2,"30,40,0,0,0,0,0,0",30/40,基线,"60,61,62,63,64,65,66,67",8,0,ok,17.6052,56.8016,1817.65,2.9537456035614014,"llama_context: graph nodes  = 1042\nllama_context: graph splits = 1\nattach_threadpool: call\nset_n_threads: n_threads = 8, n_threads_batch = 8\n[tail-local-bench] attached ggml threadpool threads=8 cpu_mask=0x0 strict=0 poll=50 prio=0\n[tail-local-bench] mode=full_token tokens=32 threads=8 prefill_ms=101.367 decode_ms=1817.65 avg_decode_ms=56.8016 throughput=17.6052 tok/s\nllama_perf_context_print:        load time =     937.84 ms\nllama_perf_context_print: prompt eval time =     101.37 ms /     4 tokens (   25.34 ms per token,    39.46 tokens per second)\nllama_perf_context_print:        eval time =    1817.68 ms /    32 runs   (   56.80 ms per token,    17.60 tokens per second)\nllama_perf_context_print:       total time =    2766.38 ms /    36 tokens"
2occ_config3,3,2,"30,40,0,0,0,0,0,0",30/40,No-Offloading 空闲核,"62,63,64,65,66,67",6,0,ok,37.1693,26.9039,860.926,1.9081594944000244,"llama_context: graph nodes  = 1042\nllama_context: graph splits = 1\nattach_threadpool: call\nset_n_threads: n_threads = 6, n_threads_batch = 6\n[tail-local-bench] attached ggml threadpool threads=6 cpu_mask=0x0 strict=0 poll=50 prio=0\n[tail-local-bench] mode=full_token tokens=32 threads=6 prefill_ms=39.709 decode_ms=860.926 avg_decode_ms=26.9039 throughput=37.1693 tok/s\nllama_perf_context_print:        load time =     868.56 ms\nllama_perf_context_print: prompt eval time =      39.71 ms /     4 tokens (    9.93 ms per token,   100.73 tokens per second)\nllama_perf_context_print:        eval time =     860.95 ms /    32 runs   (   26.90 ms per token,    37.17 tokens per second)\nllama_perf_context_print:       total time =    1740.26 ms /    36 tokens"
4occ_config3,3,4,"30,40,30,40,0,0,0,0",30/40/30/40,基线,"60,61,62,63,64,65,66,67",8,0,ok,11.6836,85.5902,2738.89,3.979182243347168,"llama_context: graph nodes  = 1042\nllama_context: graph splits = 1\nattach_threadpool: call\nset_n_threads: n_threads = 8, n_threads_batch = 8\n[tail-local-bench] attached ggml threadpool threads=8 cpu_mask=0x0 strict=0 poll=50 prio=0\n[tail-local-bench] mode=full_token tokens=32 threads=8 prefill_ms=198.569 decode_ms=2738.89 avg_decode_ms=85.5902 throughput=11.6836 tok/s\nllama_perf_context_print:        load time =    1027.86 ms\nllama_perf_context_print: prompt eval time =     198.57 ms /     4 tokens (   49.64 ms per token,    20.14 tokens per second)\nllama_perf_context_print:        eval time =    2738.91 ms /    32 runs   (   85.59 ms per token,    11.68 tokens per second)\nllama_perf_context_print:       total time =    3777.63 ms /    36 tokens"
4occ_config3,3,4,"30,40,30,40,0,0,0,0",30/40/30/40,No-Offloading 空闲核,"64,65,66,67",4,0,ok,29.5205,33.8748,1083.99,2.1253650188446045,"llama_context: graph nodes  = 1042\nllama_context: graph splits = 1\nattach_threadpool: call\nset_n_threads: n_threads = 4, n_threads_batch = 4\n[tail-local-bench] attached ggml threadpool threads=4 cpu_mask=0x0 strict=0 poll=50 prio=0\n[tail-local-bench] mode=full_token tokens=32 threads=4 prefill_ms=51.0452 decode_ms=1083.99 avg_decode_ms=33.8748 throughput=29.5205 tok/s\nllama_perf_context_print:        load time =     875.13 ms\nllama_perf_context_print: prompt eval time =      51.05 ms /     4 tokens (   12.76 ms per token,    78.36 tokens per second)\nllama_perf_context_print:        eval time =    1084.02 ms /    32 runs   (   33.88 ms per token,    29.52 tokens per second)\nllama_perf_context_print:       total time =    1970.10 ms /    36 tokens"
6occ_config3,3,6,"30,40,30,40,30,40,0,0",30/40/30/40/30/40,基线,"60,61,62,63,64,65,66,67",8,0,ok,5.62888,177.655,5684.96,7.326434373855591,"llama_context: graph nodes  = 1042\nllama_context: graph splits = 1\nattach_threadpool: call\nset_n_threads: n_threads = 8, n_threads_batch = 8\n[tail-local-bench] attached ggml threadpool threads=8 cpu_mask=0x0 strict=0 poll=50 prio=0\n[tail-local-bench] mode=full_token tokens=32 threads=8 prefill_ms=517.274 decode_ms=5684.96 avg_decode_ms=177.655 throughput=5.62888 tok/s\nllama_perf_context_print:        load time =    1457.49 ms\nllama_perf_context_print: prompt eval time =     517.28 ms /     4 tokens (  129.32 ms per token,     7.73 tokens per second)\nllama_perf_context_print:        eval time =    5685.00 ms /    32 runs   (  177.66 ms per token,     5.63 tokens per second)\nllama_perf_context_print:       total time =    7153.41 ms /    36 tokens"
6occ_config3,3,6,"30,40,30,40,30,40,0,0",30/40/30/40/30/40,No-Offloading 空闲核,"66,67",2,0,ok,15.5902,64.1428,2052.57,3.1697311401367188,"llama_context: graph nodes  = 1042\nllama_context: graph splits = 1\nattach_threadpool: call\nset_n_threads: n_threads = 2, n_threads_batch = 2\n[tail-local-bench] attached ggml threadpool threads=2 cpu_mask=0x0 strict=0 poll=50 prio=0\n[tail-local-bench] mode=full_token tokens=32 threads=2 prefill_ms=84.4062 decode_ms=2052.57 avg_decode_ms=64.1428 throughput=15.5902 tok/s\nllama_perf_context_print:        load time =     953.49 ms\nllama_perf_context_print: prompt eval time =      84.41 ms /     4 tokens (   21.10 ms per token,    47.39 tokens per second)\nllama_perf_context_print:        eval time =    2052.60 ms /    32 runs   (   64.14 ms per token,    15.59 tokens per second)\nllama_perf_context_print:       total time =    3016.87 ms /    36 tokens"
8occ_config3,3,8,"30,40,30,40,30,40,30,40",30/40/30/40/30/40/30/40,基线,"60,61,62,63,64,65,66,67",8,0,ok,1.07809,927.565,29682.1,31.05334162712097,"llama_context: graph nodes  = 1042\nllama_context: graph splits = 1\nattach_threadpool: call\nset_n_threads: n_threads = 8, n_threads_batch = 8\n[tail-local-bench] attached ggml threadpool threads=8 cpu_mask=0x0 strict=0 poll=50 prio=0\n[tail-local-bench] mode=full_token tokens=32 threads=8 prefill_ms=125.749 decode_ms=29682.1 avg_decode_ms=927.565 throughput=1.07809 tok/s\nllama_perf_context_print:        load time =    1140.06 ms\nllama_perf_context_print: prompt eval time =     125.75 ms /     4 tokens (   31.44 ms per token,    31.81 tokens per second)\nllama_perf_context_print:        eval time =   29682.12 ms /    32 runs   (  927.57 ms per token,     1.08 tokens per second)\nllama_perf_context_print:       total time =   30832.94 ms /    36 tokens"
2occ_config4,4,2,"50,50,0,0,0,0,0,0",50/50,基线,"60,61,62,63,64,65,66,67",8,0,ok,12.0585,82.9291,2653.73,3.791621685028076,"llama_context: graph nodes  = 1042\nllama_context: graph splits = 1\nattach_threadpool: call\nset_n_threads: n_threads = 8, n_threads_batch = 8\n[tail-local-bench] attached ggml threadpool threads=8 cpu_mask=0x0 strict=0 poll=50 prio=0\n[tail-local-bench] mode=full_token tokens=32 threads=8 prefill_ms=38.6963 decode_ms=2653.73 avg_decode_ms=82.9291 throughput=12.0585 tok/s\nllama_perf_context_print:        load time =     942.96 ms\nllama_perf_context_print: prompt eval time =      38.70 ms /     4 tokens (    9.68 ms per token,   103.36 tokens per second)\nllama_perf_context_print:        eval time =    2653.76 ms /    32 runs   (   82.93 ms per token,    12.06 tokens per second)\nllama_perf_context_print:       total time =    3608.23 ms /    36 tokens"
2occ_config4,4,2,"50,50,0,0,0,0,0,0",50/50,No-Offloading 空闲核,"62,63,64,65,66,67",6,0,ok,39.7052,25.1856,805.939,1.907120943069458,"llama_context: graph nodes  = 1042\nllama_context: graph splits = 1\nattach_threadpool: call\nset_n_threads: n_threads = 6, n_threads_batch = 6\n[tail-local-bench] attached ggml threadpool threads=6 cpu_mask=0x0 strict=0 poll=50 prio=0\n[tail-local-bench] mode=full_token tokens=32 threads=6 prefill_ms=33.6861 decode_ms=805.939 avg_decode_ms=25.1856 throughput=39.7052 tok/s\nllama_perf_context_print:        load time =     893.30 ms\nllama_perf_context_print: prompt eval time =      33.69 ms /     4 tokens (    8.42 ms per token,   118.73 tokens per second)\nllama_perf_context_print:        eval time =     805.96 ms /    32 runs   (   25.19 ms per token,    39.70 tokens per second)\nllama_perf_context_print:       total time =    1710.58 ms /    36 tokens"
4occ_config4,4,4,"50,50,60,60,0,0,0,0",50/50/60/60,基线,"60,61,62,63,64,65,66,67",8,0,ok,2.3707,421.816,13498.1,14.58387303352356,"llama_context: graph nodes  = 1042\nllama_context: graph splits = 1\nattach_threadpool: call\nset_n_threads: n_threads = 8, n_threads_batch = 8\n[tail-local-bench] attached ggml threadpool threads=8 cpu_mask=0x0 strict=0 poll=50 prio=0\n[tail-local-bench] mode=full_token tokens=32 threads=8 prefill_ms=30.3275 decode_ms=13498.1 avg_decode_ms=421.816 throughput=2.3707 tok/s\nllama_perf_context_print:        load time =     892.61 ms\nllama_perf_context_print: prompt eval time =      30.33 ms /     4 tokens (    7.58 ms per token,   131.88 tokens per second)\nllama_perf_context_print:        eval time =   13498.15 ms /    32 runs   (  421.82 ms per token,     2.37 tokens per second)\nllama_perf_context_print:       total time =   14401.63 ms /    36 tokens"
4occ_config4,4,4,"50,50,60,60,0,0,0,0",50/50/60/60,No-Offloading 空闲核,"64,65,66,67",4,0,ok,30.0973,33.2256,1063.22,2.156395673751831,"llama_context: graph nodes  = 1042\nllama_context: graph splits = 1\nattach_threadpool: call\nset_n_threads: n_threads = 4, n_threads_batch = 4\n[tail-local-bench] attached ggml threadpool threads=4 cpu_mask=0x0 strict=0 poll=50 prio=0\n[tail-local-bench] mode=full_token tokens=32 threads=4 prefill_ms=49.024 decode_ms=1063.22 avg_decode_ms=33.2256 throughput=30.0973 tok/s\nllama_perf_context_print:        load time =     908.95 ms\nllama_perf_context_print: prompt eval time =      49.03 ms /     4 tokens (   12.26 ms per token,    81.59 tokens per second)\nllama_perf_context_print:        eval time =    1063.24 ms /    32 runs   (   33.23 ms per token,    30.10 tokens per second)\nllama_perf_context_print:       total time =    1983.29 ms /    36 tokens"
6occ_config4,4,6,"50,50,60,60,50,50,0,0",50/50/60/60/50/50,基线,"60,61,62,63,64,65,66,67",8,0,ok,0.37294,2681.39,85804.6,95.2002580165863,"llama_context: graph nodes  = 1042\nllama_context: graph splits = 1\nattach_threadpool: call\nset_n_threads: n_threads = 8, n_threads_batch = 8\n[tail-local-bench] attached ggml threadpool threads=8 cpu_mask=0x0 strict=0 poll=50 prio=0\n[tail-local-bench] mode=full_token tokens=32 threads=8 prefill_ms=8313.43 decode_ms=85804.6 avg_decode_ms=2681.39 throughput=0.37294 tok/s\nllama_perf_context_print:        load time =    9166.44 ms\nllama_perf_context_print: prompt eval time =    8313.44 ms /     4 tokens ( 2078.36 ms per token,     0.48 tokens per second)\nllama_perf_context_print:        eval time =   85804.67 ms /    32 runs   ( 2681.40 ms per token,     0.37 tokens per second)\nllama_perf_context_print:       total time =   94981.22 ms /    36 tokens"
6occ_config4,4,6,"50,50,60,60,50,50,0,0",50/50/60/60/50/50,No-Offloading 空闲核,"66,67",2,0,ok,15.2707,65.4849,2095.52,3.4662585258483887,"llama_context: graph nodes  = 1042\nllama_context: graph splits = 1\nattach_threadpool: call\nset_n_threads: n_threads = 2, n_threads_batch = 2\n[tail-local-bench] attached ggml threadpool threads=2 cpu_mask=0x0 strict=0 poll=50 prio=0\n[tail-local-bench] mode=full_token tokens=32 threads=2 prefill_ms=97.3259 decode_ms=2095.52 avg_decode_ms=65.4849 throughput=15.2707 tok/s\nllama_perf_context_print:        load time =    1188.93 ms\nllama_perf_context_print: prompt eval time =      97.33 ms /     4 tokens (   24.33 ms per token,    41.10 tokens per second)\nllama_perf_context_print:        eval time =    2095.54 ms /    32 runs   (   65.49 ms per token,    15.27 tokens per second)\nllama_perf_context_print:       total time =    3295.31 ms /    36 tokens"
8occ_config4,4,8,"50,50,60,60,50,50,60,60",50/50/60/60/50/50/60/60,基线,"60,61,62,63,64,65,66,67",8,0,rc_-999,,,,120.13174104690552,"llama_context: worst-case: n_tokens = 512, n_seqs = 1, n_outputs = 0\nllama_context: reserving graph for n_tokens = 512, n_seqs = 1\nllama_context: reserving graph for n_tokens = 1, n_seqs = 1\nllama_context: reserving graph for n_tokens = 512, n_seqs = 1\nllama_context:        CPU compute buffer size =   299.75 MiB\nllama_context: graph nodes  = 1042\nllama_context: graph splits = 1\nattach_threadpool: call\nset_n_threads: n_threads = 8, n_threads_batch = 8\n[tail-local-bench] attached ggml threadpool threads=8 cpu_mask=0x0 strict=0 poll=50 prio=0"
2occ_config5,5,2,"70,70,0,0,0,0,0,0",70/70,基线,"60,61,62,63,64,65,66,67",8,0,ok,7.18044,139.267,4456.55,6.204410552978516,"llama_context: graph nodes  = 1042\nllama_context: graph splits = 1\nattach_threadpool: call\nset_n_threads: n_threads = 8, n_threads_batch = 8\n[tail-local-bench] attached ggml threadpool threads=8 cpu_mask=0x0 strict=0 poll=50 prio=0\n[tail-local-bench] mode=full_token tokens=32 threads=8 prefill_ms=766.368 decode_ms=4456.55 avg_decode_ms=139.267 throughput=7.18044 tok/s\nllama_perf_context_print:        load time =    1578.60 ms\nllama_perf_context_print: prompt eval time =     766.37 ms /     4 tokens (  191.59 ms per token,     5.22 tokens per second)\nllama_perf_context_print:        eval time =    4456.58 ms /    32 runs   (  139.27 ms per token,     7.18 tokens per second)\nllama_perf_context_print:       total time =    6046.07 ms /    36 tokens"
2occ_config5,5,2,"70,70,0,0,0,0,0,0",70/70,No-Offloading 空闲核,"62,63,64,65,66,67",6,0,ok,38.6229,25.8914,828.525,1.8360354900360107,"llama_context: graph nodes  = 1042\nllama_context: graph splits = 1\nattach_threadpool: call\nset_n_threads: n_threads = 6, n_threads_batch = 6\n[tail-local-bench] attached ggml threadpool threads=6 cpu_mask=0x0 strict=0 poll=50 prio=0\n[tail-local-bench] mode=full_token tokens=32 threads=6 prefill_ms=36.4493 decode_ms=828.525 avg_decode_ms=25.8914 throughput=38.6229 tok/s\nllama_perf_context_print:        load time =     845.01 ms\nllama_perf_context_print: prompt eval time =      36.45 ms /     4 tokens (    9.11 ms per token,   109.73 tokens per second)\nllama_perf_context_print:        eval time =     828.54 ms /    32 runs   (   25.89 ms per token,    38.62 tokens per second)\nllama_perf_context_print:       total time =    1684.99 ms /    36 tokens"
4occ_config5,5,4,"70,70,80,80,0,0,0,0",70/70/80/80,基线,"60,61,62,63,64,65,66,67",8,0,ok,0.337651,2961.64,94772.5,101.88006329536438,"llama_context: graph nodes  = 1042\nllama_context: graph splits = 1\nattach_threadpool: call\nset_n_threads: n_threads = 8, n_threads_batch = 8\n[tail-local-bench] attached ggml threadpool threads=8 cpu_mask=0x0 strict=0 poll=50 prio=0\n[tail-local-bench] mode=full_token tokens=32 threads=8 prefill_ms=6070.89 decode_ms=94772.5 avg_decode_ms=2961.64 throughput=0.337651 tok/s\nllama_perf_context_print:        load time =    6931.42 ms\nllama_perf_context_print: prompt eval time =    6070.91 ms /     4 tokens ( 1517.73 ms per token,     0.66 tokens per second)\nllama_perf_context_print:        eval time =   94772.53 ms /    32 runs   ( 2961.64 ms per token,     0.34 tokens per second)\nllama_perf_context_print:       total time =  101714.28 ms /    36 tokens"
