timeout_ms,scenario,occupied_count,policy,policy_label,decode_tok_s,generation_decode_ms,ppl,loads,workers,log
30,2occ_minor_hot,2,A1_random_input,Random input,0.157406,6353,14.9087,"0,0,0,0,0,0,100,100","0,0,0,0,0,0,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_2occ_minor_hot_A1_random_input_t30.log
30,2occ_minor_hot,2,A2_random_pruning,Random pruning,0.160909,6214.69,15.6467,"0,0,0,0,0,0,100,100","0,0,0,0,0,0,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_2occ_minor_hot_A2_random_pruning_t30.log
30,2occ_minor_hot,2,A3_average_timeout,Average timeout,0.165141,6055.43,12.0285,"0,0,0,0,0,0,100,100","0,0,0,0,0,0,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_2occ_minor_hot_A3_average_timeout_t30.log
30,2occ_minor_hot,2,A4_no_scheduler,No scheduler,0.158659,6302.83,18.8311,"0,0,0,0,0,0,100,100","0,0,0,0,0,0,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_2occ_minor_hot_A4_no_scheduler_t30.log
30,4occ_tail_hot,4,scheduler,Scheduler,0.155803,6418.36,12.0285,"0,0,0,0,80,90,100,100","0,0,0,0,1,1,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_4occ_tail_hot_scheduler_t30.log
30,4occ_tail_hot,4,A1_random_input,Random input,0.156233,6400.7,14.9087,"0,0,0,0,80,90,100,100","0,0,0,0,1,1,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_4occ_tail_hot_A1_random_input_t30.log
30,4occ_tail_hot,4,A2_random_pruning,Random pruning,0.161242,6201.87,15.6467,"0,0,0,0,80,90,100,100","0,0,0,0,1,1,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_4occ_tail_hot_A2_random_pruning_t30.log
30,4occ_tail_hot,4,A3_average_timeout,Average timeout,0.163805,6104.81,12.0285,"0,0,0,0,80,90,100,100","0,0,0,0,1,1,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_4occ_tail_hot_A3_average_timeout_t30.log
30,4occ_tail_hot,4,A4_no_scheduler,No scheduler,0.154064,6490.79,18.8311,"0,0,0,0,80,90,100,100","0,0,0,0,1,1,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_4occ_tail_hot_A4_no_scheduler_t30.log
30,6occ_tail_hot,6,scheduler,Scheduler,24.3707,41.0329,12.0285,"0,0,55,70,85,95,100,100","0,0,1,1,1,2,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_6occ_tail_hot_scheduler_t30.log
30,6occ_tail_hot,6,A1_random_input,Random input,24.2447,41.2461,14.9087,"0,0,55,70,85,95,100,100","0,0,1,1,1,2,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_6occ_tail_hot_A1_random_input_t30.log
30,6occ_tail_hot,6,A2_random_pruning,Random pruning,0.153804,6501.77,15.6467,"0,0,55,70,85,95,100,100","0,0,1,1,1,2,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_6occ_tail_hot_A2_random_pruning_t30.log
30,6occ_tail_hot,6,A3_average_timeout,Average timeout,0.166115,6019.92,12.0285,"0,0,55,70,85,95,100,100","0,0,1,1,1,2,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_6occ_tail_hot_A3_average_timeout_t30.log
30,6occ_tail_hot,6,A4_no_scheduler,No scheduler,23.0306,43.4204,18.8311,"0,0,55,70,85,95,100,100","0,0,1,1,1,2,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_6occ_tail_hot_A4_no_scheduler_t30.log
30,8occ_high,8,scheduler,Scheduler,30.5137,32.7722,12.0285,"20,35,50,65,85,95,100,100","1,1,1,1,2,2,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_8occ_high_scheduler_t30.log
30,8occ_high,8,A1_random_input,Random input,24.8799,40.1931,14.9087,"20,35,50,65,85,95,100,100","1,1,1,1,2,2,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_8occ_high_A1_random_input_t30.log
30,8occ_high,8,A2_random_pruning,Random pruning,24.7119,40.4663,15.6467,"20,35,50,65,85,95,100,100","1,1,1,1,2,2,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_8occ_high_A2_random_pruning_t30.log
30,8occ_high,8,A3_average_timeout,Average timeout,21.0996,47.3943,12.0285,"20,35,50,65,85,95,100,100","1,1,1,1,2,2,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_8occ_high_A3_average_timeout_t30.log
30,8occ_high,8,A4_no_scheduler,No scheduler,23.3748,42.7811,18.8311,"20,35,50,65,85,95,100,100","1,1,1,1,2,2,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_8occ_high_A4_no_scheduler_t30.log
40,2occ_minor_hot,2,scheduler,Scheduler,0.167968,5953.53,12.0285,"0,0,0,0,0,0,100,100","0,0,0,0,0,0,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_2occ_minor_hot_scheduler_t40.log
40,2occ_minor_hot,2,A1_random_input,Random input,0.165427,6044.96,14.9087,"0,0,0,0,0,0,100,100","0,0,0,0,0,0,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_2occ_minor_hot_A1_random_input_t40.log
40,2occ_minor_hot,2,A2_random_pruning,Random pruning,0.158406,6312.88,15.6467,"0,0,0,0,0,0,100,100","0,0,0,0,0,0,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_2occ_minor_hot_A2_random_pruning_t40.log
40,2occ_minor_hot,2,A3_average_timeout,Average timeout,0.166949,5989.87,12.0285,"0,0,0,0,0,0,100,100","0,0,0,0,0,0,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_2occ_minor_hot_A3_average_timeout_t40.log
40,2occ_minor_hot,2,A4_no_scheduler,No scheduler,0.162422,6156.79,18.8311,"0,0,0,0,0,0,100,100","0,0,0,0,0,0,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_2occ_minor_hot_A4_no_scheduler_t40.log
40,4occ_tail_hot,4,scheduler,Scheduler,0.163472,6117.26,12.0285,"0,0,0,0,80,90,100,100","0,0,0,0,1,1,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_4occ_tail_hot_scheduler_t40.log
40,4occ_tail_hot,4,A1_random_input,Random input,0.156082,6406.89,14.9087,"0,0,0,0,80,90,100,100","0,0,0,0,1,1,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_4occ_tail_hot_A1_random_input_t40.log
40,4occ_tail_hot,4,A2_random_pruning,Random pruning,0.155889,6414.82,15.6467,"0,0,0,0,80,90,100,100","0,0,0,0,1,1,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_4occ_tail_hot_A2_random_pruning_t40.log
40,4occ_tail_hot,4,A3_average_timeout,Average timeout,0.15606,6407.79,12.0285,"0,0,0,0,80,90,100,100","0,0,0,0,1,1,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_4occ_tail_hot_A3_average_timeout_t40.log
40,4occ_tail_hot,4,A4_no_scheduler,No scheduler,0.162854,6140.48,18.8311,"0,0,0,0,80,90,100,100","0,0,0,0,1,1,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_4occ_tail_hot_A4_no_scheduler_t40.log
40,6occ_tail_hot,6,scheduler,Scheduler,27.2496,36.6978,12.0285,"0,0,55,70,85,95,100,100","0,0,1,1,1,2,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_6occ_tail_hot_scheduler_t40.log
40,6occ_tail_hot,6,A1_random_input,Random input,0.159757,6259.52,14.9087,"0,0,55,70,85,95,100,100","0,0,1,1,1,2,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_6occ_tail_hot_A1_random_input_t40.log
40,6occ_tail_hot,6,A2_random_pruning,Random pruning,0.173527,5762.78,15.6467,"0,0,55,70,85,95,100,100","0,0,1,1,1,2,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_6occ_tail_hot_A2_random_pruning_t40.log
40,6occ_tail_hot,6,A3_average_timeout,Average timeout,0.160387,6234.92,12.0285,"0,0,55,70,85,95,100,100","0,0,1,1,1,2,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_6occ_tail_hot_A3_average_timeout_t40.log
40,6occ_tail_hot,6,A4_no_scheduler,No scheduler,0.164277,6087.29,18.8311,"0,0,55,70,85,95,100,100","0,0,1,1,1,2,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_6occ_tail_hot_A4_no_scheduler_t40.log
40,8occ_high,8,scheduler,Scheduler,25.223,39.6463,12.0285,"20,35,50,65,85,95,100,100","1,1,1,1,2,2,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_8occ_high_scheduler_t40.log
40,8occ_high,8,A1_random_input,Random input,25.9217,38.5778,14.9087,"20,35,50,65,85,95,100,100","1,1,1,1,2,2,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_8occ_high_A1_random_input_t40.log
40,8occ_high,8,A2_random_pruning,Random pruning,24.5925,40.6628,15.6467,"20,35,50,65,85,95,100,100","1,1,1,1,2,2,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_8occ_high_A2_random_pruning_t40.log
40,8occ_high,8,A3_average_timeout,Average timeout,19.7973,50.5119,12.0285,"20,35,50,65,85,95,100,100","1,1,1,1,2,2,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_8occ_high_A3_average_timeout_t40.log
40,8occ_high,8,A4_no_scheduler,No scheduler,24.9131,40.1395,18.8311,"20,35,50,65,85,95,100,100","1,1,1,1,2,2,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_8occ_high_A4_no_scheduler_t40.log
