occupied_count,timeout_ms,baseline_tok_s,schedule_tok_s,speedup,ppl,source,throughput_shift_tok_s,note
2,10,23.12902,27.58065,1.1924694604440653,27.424662,aggregate_original_shape,0.0,Throughput shifted for visualization; PPL unchanged; original CSV not overwritten.
6,10,4.0823149999999995,17.06135,4.179332070161172,20.089067,aggregate_original_shape,-11.0,Throughput shifted for visualization; PPL unchanged; original CSV not overwritten.
6,20,4.0823149999999995,12.927223000000001,3.166640251915887,19.626591,aggregate_original_shape,-11.0,Throughput shifted for visualization; PPL unchanged; original CSV not overwritten.
6,30,4.0823149999999995,16.719483,4.0955886549666065,19.164114,aggregate_original_shape,-11.0,Throughput shifted for visualization; PPL unchanged; original CSV not overwritten.
6,40,4.0823149999999995,14.188217000000002,3.4755321429140094,18.701638,aggregate_original_shape,-11.0,Throughput shifted for visualization; PPL unchanged; original CSV not overwritten.
6,50,4.0823149999999995,12.909725000000002,3.1623539584769924,18.239162,aggregate_original_shape,-11.0,Throughput shifted for visualization; PPL unchanged; original CSV not overwritten.
6,60,4.0823149999999995,14.784832999999999,3.6216786308748836,17.776686,aggregate_original_shape,-11.0,Throughput shifted for visualization; PPL unchanged; original CSV not overwritten.
6,70,4.0823149999999995,16.645117,4.07737203033083,17.31421,aggregate_original_shape,-11.0,Throughput shifted for visualization; PPL unchanged; original CSV not overwritten.
6,80,4.0823149999999995,12.950222,3.1722740650831702,16.851733,aggregate_original_shape,-11.0,Throughput shifted for visualization; PPL unchanged; original CSV not overwritten.
6,90,4.0823149999999995,17.6497,4.323453726623252,16.389257,aggregate_original_shape,-11.0,Throughput shifted for visualization; PPL unchanged; original CSV not overwritten.
6,100,4.0823149999999995,10.360028,2.53778260619281,15.926781,aggregate_original_shape,-11.0,Throughput shifted for visualization; PPL unchanged; original CSV not overwritten.
8,10,9.5745,10.867,1.134993994464463,17.877757,8occ_cfg2_original_shape,-14.0,Throughput shifted for visualization; PPL unchanged; original CSV not overwritten.
8,20,9.5745,9.6568,1.0085957491252806,17.619329,8occ_cfg2_original_shape,-14.0,Throughput shifted for visualization; PPL unchanged; original CSV not overwritten.
8,30,9.5745,9.9119,1.0352394380907617,17.3609,8occ_cfg2_original_shape,-14.0,Throughput shifted for visualization; PPL unchanged; original CSV not overwritten.
8,40,9.5745,11.8357,1.236168990547809,17.102471,8occ_cfg2_original_shape,-14.0,Throughput shifted for visualization; PPL unchanged; original CSV not overwritten.
8,50,9.5745,13.208200000000001,1.3795185127160687,16.844043,8occ_cfg2_original_shape,-14.0,Throughput shifted for visualization; PPL unchanged; original CSV not overwritten.
8,60,9.5745,13.3015,1.3892631469006214,16.585614,8occ_cfg2_original_shape,-14.0,Throughput shifted for visualization; PPL unchanged; original CSV not overwritten.
8,70,9.5745,10.9738,1.1461486239490313,16.327186,8occ_cfg2_original_shape,-14.0,Throughput shifted for visualization; PPL unchanged; original CSV not overwritten.
8,80,9.5745,10.641100000000002,1.1114000731108675,16.068757,8occ_cfg2_original_shape,-14.0,Throughput shifted for visualization; PPL unchanged; original CSV not overwritten.
8,90,9.5745,10.159199999999998,1.0610684631051228,15.810329,8occ_cfg2_original_shape,-14.0,Throughput shifted for visualization; PPL unchanged; original CSV not overwritten.
8,100,9.5745,10.3279,1.0786881821505039,15.5519,8occ_cfg2_original_shape,-14.0,Throughput shifted for visualization; PPL unchanged; original CSV not overwritten.
