image,label0
/home/tianruiming/CE_ADA_LLAMA/src/llama.cpp/exp8_resnet50/results/resnet_scheduler_figures_real_20260506_r1/imagenet_val_subset/ILSVRC2012_val_00000013.JPEG,370
/home/tianruiming/CE_ADA_LLAMA/src/llama.cpp/exp8_resnet50/results/resnet_scheduler_figures_real_20260506_r1/imagenet_val_subset/ILSVRC2012_val_00000014.JPEG,757
/home/tianruiming/CE_ADA_LLAMA/src/llama.cpp/exp8_resnet50/results/resnet_scheduler_figures_real_20260506_r1/imagenet_val_subset/ILSVRC2012_val_00000015.JPEG,595
/home/tianruiming/CE_ADA_LLAMA/src/llama.cpp/exp8_resnet50/results/resnet_scheduler_figures_real_20260506_r1/imagenet_val_subset/ILSVRC2012_val_00000016.JPEG,147
/home/tianruiming/CE_ADA_LLAMA/src/llama.cpp/exp8_resnet50/results/resnet_scheduler_figures_real_20260506_r1/imagenet_val_subset/ILSVRC2012_val_00000017.JPEG,108
/home/tianruiming/CE_ADA_LLAMA/src/llama.cpp/exp8_resnet50/results/resnet_scheduler_figures_real_20260506_r1/imagenet_val_subset/ILSVRC2012_val_00000018.JPEG,23
/home/tianruiming/CE_ADA_LLAMA/src/llama.cpp/exp8_resnet50/results/resnet_scheduler_figures_real_20260506_r1/imagenet_val_subset/ILSVRC2012_val_00000019.JPEG,478
/home/tianruiming/CE_ADA_LLAMA/src/llama.cpp/exp8_resnet50/results/resnet_scheduler_figures_real_20260506_r1/imagenet_val_subset/ILSVRC2012_val_00000020.JPEG,517
/home/tianruiming/CE_ADA_LLAMA/src/llama.cpp/exp8_resnet50/results/resnet_scheduler_figures_real_20260506_r1/imagenet_val_subset/ILSVRC2012_val_00000021.JPEG,334
/home/tianruiming/CE_ADA_LLAMA/src/llama.cpp/exp8_resnet50/results/resnet_scheduler_figures_real_20260506_r1/imagenet_val_subset/ILSVRC2012_val_00000022.JPEG,173
/home/tianruiming/CE_ADA_LLAMA/src/llama.cpp/exp8_resnet50/results/resnet_scheduler_figures_real_20260506_r1/imagenet_val_subset/ILSVRC2012_val_00000023.JPEG,948
/home/tianruiming/CE_ADA_LLAMA/src/llama.cpp/exp8_resnet50/results/resnet_scheduler_figures_real_20260506_r1/imagenet_val_subset/ILSVRC2012_val_00000024.JPEG,727
/home/tianruiming/CE_ADA_LLAMA/src/llama.cpp/exp8_resnet50/results/resnet_scheduler_figures_real_20260506_r1/imagenet_val_subset/ILSVRC2012_val_00000025.JPEG,23
/home/tianruiming/CE_ADA_LLAMA/src/llama.cpp/exp8_resnet50/results/resnet_scheduler_figures_real_20260506_r1/imagenet_val_subset/ILSVRC2012_val_00000026.JPEG,846
/home/tianruiming/CE_ADA_LLAMA/src/llama.cpp/exp8_resnet50/results/resnet_scheduler_figures_real_20260506_r1/imagenet_val_subset/ILSVRC2012_val_00000027.JPEG,270
/home/tianruiming/CE_ADA_LLAMA/src/llama.cpp/exp8_resnet50/results/resnet_scheduler_figures_real_20260506_r1/imagenet_val_subset/ILSVRC2012_val_00000028.JPEG,167
/home/tianruiming/CE_ADA_LLAMA/src/llama.cpp/exp8_resnet50/results/resnet_scheduler_figures_real_20260506_r1/imagenet_val_subset/ILSVRC2012_val_00000029.JPEG,55
/home/tianruiming/CE_ADA_LLAMA/src/llama.cpp/exp8_resnet50/results/resnet_scheduler_figures_real_20260506_r1/imagenet_val_subset/ILSVRC2012_val_00000030.JPEG,858
/home/tianruiming/CE_ADA_LLAMA/src/llama.cpp/exp8_resnet50/results/resnet_scheduler_figures_real_20260506_r1/imagenet_val_subset/ILSVRC2012_val_00000031.JPEG,324
/home/tianruiming/CE_ADA_LLAMA/src/llama.cpp/exp8_resnet50/results/resnet_scheduler_figures_real_20260506_r1/imagenet_val_subset/ILSVRC2012_val_00000032.JPEG,573
